No.,URL,観光地名,最初の画像のURL,緯度,経度,エリア名,カテゴリー,条件,タグ,季節情報,開催期間,基本情報の備考欄,分類
1606,https://niigata-kankou.or.jp/spot/42599,佐州おーやり館（相川観光交流センター）,https://niigata-kankou.or.jp/image/rendering/attraction_image/65201/trim.900/3/2?v=31062500f899eb9eb6f6871487a082adfb643e26,38.0332247,138.2410195,佐渡エリア,観光施設,情報なし,情報なし,情報がありません,情報がありません,宿泊者は学生証など学校関係者であることを証明できるものをお持ちください。,観光施設
1628,https://niigata-kankou.or.jp/spot/11652,羽茂温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/23182/trim.900/3/2?v=294c86434c6c8d00d36fe24d02a0cfaabaf2db5e,37.860235,138.329608,佐渡エリア,温泉地,情報なし,情報なし,情報がありません,情報がありません,"●泉質：低張性アルカリ性単純温泉_x000D_
●主な効能：神経痛、筋肉痛、関節痛_x000D_
●泉温：34度",温泉・サウナ
1643,https://niigata-kankou.or.jp/spot/11684,住吉温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/23148/trim.900/3/2?v=8eca67d7097c23a9fc8028591063faf54aed6a0f,38.067538,138.459942,佐渡エリア,温泉地,情報なし,情報なし,情報がありません,情報がありません,"●泉質：ナトリウム塩化物温泉_x000D_
●主な効能：神経痛・筋肉痛・関節痛・五十肩・運動麻痺・関節のこわばり・打ち身・くじき・冷え性・疲労回復・切り傷・やけど・慢性皮膚病・虚弱児童・婦人病等_x000D_
●泉温：47.0℃",温泉・サウナ
1666,https://niigata-kankou.or.jp/spot/11594,田ノ浦温泉,https://niigata-kankou.or.jp/image/rendering/attraction_image/3643/trim.900/3/2?v=3200533f88481b1a9163e37fb96b66ce629e9059,37.72220842,138.7893162,新潟・阿賀エリア,温泉地,情報なし,情報なし,情報がありません,情報がありません,"●泉質：ナトリウム-塩化物泉(低張性アルカリ性冷鉱泉)
●効能：神経痛、筋肉痛、関節痛、五十肩、運動麻痺、疲労回復
●泉温：22.2度",温泉・サウナ
1730,https://niigata-kankou.or.jp/spot/44195,平和記念公園・展示館,https://niigata-kankou.or.jp/image/rendering/attraction_image/146711/trim.900/3/2?v=934821d42addfde8af059fbe94945986b3dc9ddc,37.17824640680339,138.25010152275388,妙高・上越・糸魚川エリア,観光施設,情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
1738,https://niigata-kankou.or.jp/spot/44110,【当面の間休止中】松ヶ峯温泉 ひばり荘,https://image.jimcdn.com/app/cms/image/transf/dimension=1920x10000:format=jpg/path/sd1932b208db30fa8/image/ic25dd6583312517b/version/1526020610/image.jpg,36.947354651422394,138.21405580978694,妙高・上越・糸魚川エリア,温泉・宿・サウナ,情報なし,情報なし,情報がありません,情報がありません,情報がありません,温泉・サウナ
1743,https://niigata-kankou.or.jp/spot/11580,雲母温泉（えちごせきかわ温泉郷）,https://niigata-kankou.or.jp/image/rendering/attraction_image/122363/trim.900/3/2?v=0fc3f1abe5b7d579d14a6742eaa87246d1eb94c1,38.08430862,139.5756264,村上・新発田エリア,温泉地,カード対応可,情報なし,情報がありません,情報がありません,"●泉質：ナトリウム－塩化物・硫酸塩泉_x000D_
●効能：神経痛、リウマチ、婦人病、胃腸病、創傷、通風、湿疹、皮膚病_x000D_
●泉温：62度",温泉・サウナ
1746,https://niigata-kankou.or.jp/spot/7391,阿賀野市五頭薬用植物園,https://niigata-kankou.or.jp/image/rendering/attraction_image/22214/trim.900/3/2?v=775432a2235f8418a65c66a679bd012b000129d5,37.82294475,139.3084228,新潟・阿賀エリア,"動植物園・水族館,自然体験",情報なし,情報なし,情報がありません,情報がありません,"●薬用植物園園開き・薬草観察会（6月）
●きのこの勉強会（10月）",動植物園・水族館
1759,https://niigata-kankou.or.jp/spot/11413,湯元共同浴場 「山の湯」,https://niigata-kankou.or.jp/image/rendering/attraction_image/129588/trim.900/3/2?v=0e1e177980e8e9431c1084abac0d02b227b69222,36.94649095959068,138.79872950526018,湯沢・魚沼エリア,"温泉・サウナ,日帰り温泉",情報なし,情報なし,情報がありません,情報がありません,【泉質】単純硫黄温泉,温泉・サウナ
1760,https://niigata-kankou.or.jp/spot/11412,三俣共同浴場 「街道の湯」,https://niigata-kankou.or.jp/image/rendering/attraction_image/129587/trim.900/3/2?v=dd648e27ad008f6568635a4d26ad508e8cfc2b33,36.900819980933164,138.77711839896835,湯沢・魚沼エリア,"温泉・サウナ,日帰り温泉",ユニバーサルデザイン情報有,情報なし,情報がありません,情報がありません,【泉質】アルカリ性単純温泉,温泉・サウナ
